Date,Open,High,Low,Close
01/25/2023,"33,538.36","33,773.09","33,273.21","33,743.84"
01/24/2023,"33,444.72","33,782.92","33,310.56","33,733.96"
01/23/2023,"33,439.56","33,782.88","33,316.25","33,629.56"
01/20/2023,"33,073.46","33,381.95","32,948.93","33,375.49"
01/19/2023,"33,171.35","33,227.49","32,982.05","33,044.56"
01/18/2023,"33,948.49","34,016.53","33,269.90","33,296.96"
01/17/2023,"34,222.32","34,269.97","33,860.67","33,910.85"
01/13/2023,"34,075.31","34,342.32","33,915.49","34,302.61"
01/12/2023,"34,047.86","34,292.67","33,792.10","34,189.97"
01/11/2023,"33,754.03","33,974.69","33,711.04","33,973.01"
01/10/2023,"33,516.43","33,726.54","33,421.80","33,704.10"
01/09/2023,"33,664.39","33,935.11","33,487.66","33,517.65"
01/06/2023,"33,055.30","33,710.66","32,997.39","33,630.61"
01/05/2023,"33,191.72","33,191.72","32,812.33","32,930.08"
01/04/2023,"33,165.14","33,409.10","33,033.48","33,269.77"
01/03/2023,"33,148.90","33,387.52","32,850.57","33,136.37"
12/30/2022,"33,121.61","33,152.55","32,847.82","33,147.25"
12/29/2022,"33,021.43","33,293.42","33,020.35","33,220.80"
12/28/2022,"33,264.76","33,379.55","32,869.15","32,875.71"
12/27/2022,"33,224.23","33,387.72","33,069.58","33,241.56"
12/23/2022,"32,961.06","33,226.14","32,814.02","33,203.93"
12/22/2022,"33,233.35","33,233.35","32,573.43","33,027.49"
12/21/2022,"33,028.09","33,437.84","33,028.09","33,376.48"
12/20/2022,"32,735.24","32,992.23","32,649.45","32,849.74"
12/19/2022,"32,921.45","33,038.94","32,581.97","32,757.54"
12/16/2022,"33,166.46","33,166.46","32,654.59","32,920.46"
12/15/2022,"33,773.00","33,773.00","33,016.16","33,202.22"
12/14/2022,"34,086.07","34,395.65","33,704.17","33,966.35"
12/13/2022,"34,268.44","34,712.28","33,890.88","34,108.64"
12/12/2022,"33,519.50","34,005.04","33,519.50","34,005.04"
12/09/2022,"33,746.71","33,844.63","33,462.65","33,476.46"
12/08/2022,"33,695.97","33,899.17","33,642.46","33,781.48"
12/07/2022,"33,556.40","33,774.27","33,503.67","33,597.92"
12/06/2022,"33,936.87","34,006.63","33,418.59","33,596.34"
12/05/2022,"34,335.73","34,335.73","33,846.81","33,947.10"
12/02/2022,"34,265.45","34,483.21","34,039.73","34,429.88"
12/01/2022,"34,533.59","34,595.51","34,129.35","34,395.01"
11/30/2022,"33,795.43","34,589.77","33,583.77","34,589.77"
11/29/2022,"33,847.80","33,933.91","33,662.45","33,852.53"
11/28/2022,"34,275.91","34,303.88","33,799.35","33,849.46"
11/25/2022,"34,213.04","34,386.51","34,199.57","34,347.03"
11/23/2022,"34,091.57","34,262.07","34,004.64","34,194.06"
11/22/2022,"33,810.05","34,115.70","33,810.05","34,098.10"
11/21/2022,"33,760.30","33,864.59","33,559.18","33,700.28"
11/18/2022,"33,606.59","33,827.94","33,540.64","33,745.69"
11/17/2022,"33,329.27","33,616.02","33,239.75","33,546.32"
11/16/2022,"33,554.93","33,682.83","33,516.99","33,553.83"
11/15/2022,"33,755.94","33,987.06","33,320.20","33,592.92"
11/14/2022,"33,662.05","33,964.30","33,533.96","33,536.70"
11/11/2022,"33,797.75","33,817.96","33,394.43","33,747.86"
11/10/2022,"33,263.91","33,727.73","33,167.82","33,715.37"
11/09/2022,"33,004.47","33,065.11","32,478.87","32,513.94"
11/08/2022,"32,934.56","33,355.39","32,831.46","33,160.83"
11/07/2022,"32,454.10","32,895.59","32,424.99","32,827.00"
11/04/2022,"32,265.01","32,611.52","31,938.92","32,403.22"
11/03/2022,"31,985.05","32,185.71","31,727.05","32,001.25"
11/02/2022,"32,576.28","33,071.93","32,139.77","32,147.76"
11/01/2022,"32,862.79","32,975.48","32,485.23","32,653.20"
10/31/2022,"32,754.27","32,883.86","32,586.93","32,732.95"
10/28/2022,"32,204.31","32,889.81","32,158.38","32,861.80"
10/27/2022,"32,062.14","32,388.42","31,993.21","32,033.28"
10/26/2022,"31,738.44","32,172.42","31,738.44","31,839.11"
10/25/2022,"31,463.65","31,876.15","31,423.53","31,836.74"
